DOC,Counties,Lineage,Notes 
10/1/2023,Hawaii,FL.1.5.1,Omicron (XBB.1-like)
10/1/2023,Hawaii,FL.1.5.1,Omicron (XBB.1-like)
10/1/2023,Hawaii,EG.5.1.6,Omicron (XBB.1-like)
10/2/2023,Hawaii,FU.1,Omicron (XBB.1.16-like)
10/3/2023,Hawaii,EG.5.1.1,Omicron (XBB.1-like)
10/2/2023,Hawaii,FL.1.5.1,Omicron (XBB.1-like)
10/2/2023,Hawaii,EG.5.1,Omicron (XBB.1-like)
10/2/2023,Hawaii,EG.5.1,Omicron (XBB.1-like)
10/3/2023,Hawaii,HS.1,Omicron (XBB.1.5-like)
10/2/2023,Hawaii,EG.5.1,Omicron (XBB.1-like)
10/2/2023,Hawaii,EG.5.1,Omicron (XBB.1-like)
10/3/2023,Hawaii,GK.2,Omicron (XBB.1.5-like)
10/4/2023,Hawaii,HV.1,Omicron (XBB.1-like)
10/4/2023,Hawaii,EG.5.1,Omicron (XBB.1-like)
10/9/2023,Hawaii,BA.2.86,Omicron (Unassigned)
10/10/2023,Hawaii,HK.3,Omicron (XBB.1-like)
10/12/2023,Hawaii,EG.5.1.4,Omicron (XBB.1-like)
10/12/2023,Hawaii,HW.1.1,Probable Omicron (Unassigned)
10/13/2023,Hawaii,FU.2,Omicron (XBB.1.16-like)
10/10/2023,Hawaii,XBB.1.5,Omicron (XBB-like)
10/2/2023,Hawaii,HV.1,Omicron (XBB.1-like)
10/16/2023,Hawaii,XBB.1.16.6,Omicron (XBB.1.16-like)
10/17/2023,Hawaii,FL.1.5.1,Omicron (XBB.1-like)
10/16/2023,Hawaii,EG.5.1.1,Omicron (XBB.1-like)
10/17/2023,Hawaii,XBB.1.16.6,Omicron (XBB.1.16-like)
10/16/2023,Hawaii,EG.5.1.6,Omicron (XBB.1-like)
10/16/2023,Hawaii,HV.1,Omicron (XBB.1-like)
10/19/2023,Hawaii,FL.1.5.1,Omicron (XBB.1-like)
10/23/2023,Hawaii,HV.1,Omicron (XBB.1-like)
10/25/2023,Hawaii,EG.5.1,Omicron (XBB.1-like)
10/26/2023,Hawaii,FL.1.5.1,Omicron (XBB.1-like)
10/26/2023,Hawaii,HV.1,Omicron (XBB.1-like)
10/27/2023,Hawaii, JG.3,Omicron (XBB.1-like)
10/23/2023,Hawaii, HV.1,Omicron (XBB.1-like)
10/11/2023,Hawaii, FL.1.5.1,Omicron (XBB.1-like)
10/18/2023,Hawaii,Unassigned,
10/27/2023,Hawaii, JG.3,Omicron (XBB.1-like)
10/23/2023,Hawaii,XBB.1.9.2,Omicron (XBB.1-like)
10/20/2023,Hawaii,Unassigned,Omicron (Unassigned)
10/27/2023,Hawaii, JF.1,Omicron (XBB.1.16-like)
10/24/2023,Hawaii, XBB.1.5.70,Omicron (XBB-like)
10/24/2023,Hawaii, EG.5.1.6,Omicron (XBB.1-like)
10/23/2023,Hawaii, HV.1,Omicron (XBB.1-like)
10/23/2023,Hawaii, JF.1,Omicron (XBB-like)
10/30/2023,Hawaii,Unassigned,Probable Omicron (Unassigned)
10/9/2023,Hawaii, GS.4.1,Omicron (XBB-like)
10/24/2023,Hawaii, HV.1,Omicron (XBB.1-like)
10/24/2023,Hawaii, GK.1.3,Omicron (XBB-like)
10/30/2023,Hawaii,JG.3,Omicron (XBB.1-like)
10/31/2023,Hawaii,FL.1.5.1,Omicron (XBB-like)
10/25/2023,Hawaii,HV.1,Omicron (XBB.1-like)
10/1/2023,Honolulu,XBB.1.16,Omicron (XBB.1.16-like)
10/1/2023,Honolulu,DV.7.1,Omicron (BA.2-like)
10/1/2023,Honolulu,XBB.1.42.2,Omicron (XBB.1-like)
10/2/2023,Honolulu,HV.1,Omicron (XBB.1-like)
10/2/2023,Honolulu,XBB.2.3.2,Omicron (XBB-like)
10/4/2023,Honolulu,XBB.1.5.70,Omicron (XBB.1.5-like)
10/3/2023,Honolulu,XBB.1.16.11,Omicron (XBB.1.16-like)
10/3/2023,Honolulu,HV.1,Omicron (XBB.1-like)
10/3/2023,Honolulu,XBB.1.16.6,Omicron (XBB.1.16-like)
10/3/2023,Honolulu,XBB.1.16.6,Omicron (XBB.1.16-like)
10/3/2023,Honolulu,FL.1.5.1,Omicron (XBB.1-like)
10/4/2023,Honolulu,XBB.1.16.6,Omicron (XBB.1.16-like)
10/5/2023,Honolulu,EG.5.1.4,Omicron (XBB.1-like)
10/1/2023,Honolulu,FL.15,Omicron (XBB.1-like)
